Restaurant,Burrito Name,Menu Name,Type,Taco/Burrito,Date,Neighborhood,Address,Full Address,URL,Yelp,Google,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes
El Rey Moro,California Surf,California Surf Burrito,California,Burrito,42530,Clairemont,4471 Clairemont Mesa Blvd,"4471 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4,3.8,7.49,4,4,3.5,4,4,4.5,5,4.5,5,4.5,4.5,Ricardo,
El Rey Moro,Hashbrown,Hashbrown Burrito,Breakfast,Burrito,42967,Clairemont,4471 Clairemont Mesa Blvd,"4471 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4,3.8,7.49,4,3,3,4,3.5,3.5,4,3.5,4,2.5,3.7,Luis,
El Rey Moro,Hashbrown,Hashbrown Burrito,Breakfast,Burrito,42967,Clairemont,4471 Clairemont Mesa Blvd,"4471 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4,3.8,7.49,3,4,2,5,5,1,3,5,4,3,4,Elynn,
El Torrito Foods,Asada,Asada Burrito,Carne Asada / Beef,Burrito,42638,Vista,249 Emerald Dr,"249 Emerald Dr, Vista CA",https://www.yelp.com/biz/el-torito-foods-vista-2,4,4.4,7.49,1,4,3,4,4.5,5,4.5,3,4.5,4,4,Sandra,
El Torrito Foods,Adobada,Adobada Burrito,Carnitas / Pork,Burrito,42638,Vista,249 Emerald Dr,"249 Emerald Dr, Vista CA",https://www.yelp.com/biz/el-torito-foods-vista-2,4,4.4,7.89,4,4,2,4,3,4,4,4,3.5,4,3.5,Brent,
El Zarape,California,California Burrito,California,Burrito,42443,University Heights,4642 Park Blvd,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,8.95,5,4,4,5,5,5,4,5,5,5,5,Sankeerth,
El Zarape,California chicken,California chicken Burrito,California,Burrito,42443,University Heights,4642 Park Blvd,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,6.95,4,3,3.5,2,3.5,3,2.5,2.5,2.5,2,2.9,Scott,
El Zarape,Azteca,Azteca Burrito,Specialty,Burrito,42443,University Heights,4642 Park Blvd,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,7,3.5,3,5,3,3.5,3,1.5,3,3,4,3.3,Scott,
El Zarape,Lobster,Lobster Burrito,Seafood,Burrito,42443,University Heights,4642 Park Blvd,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,8.75,3,3,4,2.7,4.7,3,2.4,2,3.7,4.5,3.7,Bankole,
El Zarape,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42509,University Heights,4642 Park Blvd,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,8.75,4,4.5,3.8,3.8,4.5,3.4,1.5,3,3.8,4,3.8,Katie,
El Zarape,California,California Burrito,California,Burrito,42682,University Heights,4642 Park Blvd,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,6.65,4,3,4.5,2.5,2,3.5,5,1.5,2,1.5,2.5,Scott,Fries are terrible. Burrito leaked
El Zarape,California,California Burrito,California,Burrito,42682,University Heights,4642 Park Blvd,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,6.6,4,4,3.5,4,4,3.5,4,4,4.5,4.5,4,Ricardo,
El Zarape,California,California Burrito,California,Burrito,42682,University Heights,4642 Park Blvd,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,6.6,4.5,4,3,3,3,3.5,3,,3.5,4.5,3,Erin,Meat was too salty
El Zarape,Carne Asada supreme,Carne Asada supreme Burrito,Carne Asada / Beef,Burrito,42682,University Heights,4642 Park Blvd,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,7.5,4,4,5,4,5,5,4,5,4,4,4,Elynn,
Famoso Mexican Street Food,Cali Diablo,Cali Diablo Burrito,Specialty,Burrito,42688,Downtown,815 C St,"815 C St, Downtown CA",https://www.yelp.com/biz/famoso-mexican-street-food-san-diego-20,4.5,3.9,6.25,3.5,4,3.5,4,4,5,5,,5,4.5,4.2,Luis,
Filiberto's,Adobada,Adobada Burrito,Carnitas / Pork,Burrito,42857,Encinitas,476 S Coast Hwy 101,"476 S Coast Hwy 101, Encinitas CA",https://www.yelp.com/biz/filibertos-encinitas-2,3,3.8,6.6,5,5,4,,5,5,4,,5,3,4.5,Matteo,
Filiberto's,California,California Burrito,California,Burrito,42857,Encinitas,476 S Coast Hwy 101,"476 S Coast Hwy 101, Encinitas CA",https://www.yelp.com/biz/filibertos-encinitas-2,3,3.8,6,2,5,4.5,5,5,5,5,,5,4,5,Aga,
Gloria's Taco Shop,California ,California Burrito,California,Burrito,42706,South Park,1233 28th St,"1233 28th St, South Park CA",https://www.yelp.com/biz/glorias-taco-shop-san-diego,4,4.3,7.99,3,4,4,4,3.5,2.5,3.5,4,3.5,2.5,3.7,Scott,
Gloria's Taco Shop,Cabeza,Cabeza Burrito,Specialty,Burrito,42706,South Park,1233 28th St,"1233 28th St, South Park CA",https://www.yelp.com/biz/glorias-taco-shop-san-diego,4,4.3,6.99,2.5,3.5,4,3.5,3.5,3,1,4,4,4.5,3.8,Emily,
Goody's,Custom,Custom Burrito,Specialty,Burrito,42510,La Jolla,Marshall College,"Marshall College, La Jolla CA",https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,5.55,3.5,4,4.5,3,3,5,3,4,3,5,3.5,Scott,
Goody's,Custom,Custom Burrito,Specialty,Burrito,40679,La Jolla,Marshall College,"Marshall College, La Jolla CA",https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,5.55,2.5,4.5,4,3.5,4,3.5,4,3,4,5,3.9,Emily,
Goody's,Custom,Custom Burrito,Specialty,Burrito,42510,La Jolla,Marshall College,"Marshall College, La Jolla CA",https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,7.25,3.5,1.5,1,2,2,2,2,2,2,1,1.8,Scott,Grocery store tortilla; cold guac
Goody's,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42511,La Jolla,Marshall College,"Marshall College, La Jolla CA",https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,6.5,5,3,,4,5,4,4,,5,5,5,Erika N,
Graciela's Taco Shop,Adobada ,Adobada  Burrito,Carnitas / Pork,Burrito,42414,Bonita,5047 Central Ave,"5047 Central Ave, Bonita CA",https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4,4.5,11.75,4,3,,4,5,4,4,5,4,3,4,Sai G,
Graciela's Taco Shop,Barbacoa,Barbacoa Burrito,Carne Asada / Beef,Burrito,42414,Bonita,5047 Central Ave,"5047 Central Ave, Bonita CA",https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4,4.5,6.5,4,3,,4,4,5,4,4,5,4,5,Jonathan G,Great fish burrito. Not fishy and has great crunch from both cabbage and fried fish. Super generous with amount of fish given
Humbertos,Pollo california,Pollo California Burrito,Chicken,Burrito,42517,San Diego,1015 25th St,"1015 25th St, San Diego CA",,,,6.5,5,4,,4,4,5,4,4,4,5,4,Laya,A LOT of Carne Asada!
Jorge's Mexicatessen,California ,California Burrito,California,Burrito,42484,Encinitas ,267 N El Camino Real,"267 N El Camino Real, Encinitas  CA",https://www.yelp.com/biz/jorges-mexicatessen-encinitas,4,4.5,8,4,3,,2,3,2,3,2,3,2,2,Albert N,"The price has gone up for the past two years. I would probably rate this lower because of it, but my scores were on raw taste only."
Jorge's Mexicatessen,Chimichanga beef,Chimichanga beef Burrito,Carne Asada / Beef,Burrito,42484,Encinitas ,267 N El Camino Real,"267 N El Camino Real, Encinitas  CA",https://www.yelp.com/biz/jorges-mexicatessen-encinitas,4,4.5,8,3,3,,1,2,2,2,2,2,1,2,Brittany T,It's gone downhill since 2013. Expensive and only ate it because there's nothing else around. closes early. skimping on the portions.
Jose's Taco,California,California Burrito,California,Burrito,42648,Oceanside,3910 Vista Way,"3910 Vista Way, Oceanside CA",https://www.yelp.com/biz/joses-taco-oceanside,4,3.8,7,3.5,3,,5,3,3,4,4,4,4,4,Gurkirat S,
Juanita's Taco Shop,California ,California Burrito,California,Burrito,42508,Encinitas ,290 N Coast Hwy 101,"290 N Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/juanitas-taco-shop-encinitas,4,4.5,,4,5,,5,5,5,4,5,5,5,4.8,Erica,
Juanita's Taco Shop,Arizona,Arizona Burrito,Specialty,Burrito,42508,Encinitas ,290 N Coast Hwy 101,"290 N Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/juanitas-taco-shop-encinitas,4,4.5,7.14,3.5,4,2,4,5,4,2,4,4.5,5,4.4,Scott,not too much rice
JV's Mexican Food,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42406,Morena,1112 Morena Blvd,"1112 Morena Blvd, Morena CA",http://jvsmexfood.com/,4,4.1,7.14,5,4,2,4.5,4,3.5,2,3,4,4,4.1,Sage,hashbrowns instead of fries; anterior-posterior uniformity is good but medial-lateral is bad
JV's Mexican Food,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42406,Morena,1112 Morena Blvd,"1112 Morena Blvd, Morena CA",http://jvsmexfood.com/,4,4.1,6.02,3.2,4.5,2,3.3,3.4,4.5,4.5,3.8,3.7,5,3.7,Dan,one hot side and one cold side from the guac
Karina's Taco Shop ,Bomb,Bomb Burrito,Specialty,Burrito,42505,Encinitas ,916 N Coast Hwy 101,"916 N Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/karinas-taco-shop-encinitas,4,4.2,6.5,2,1.5,4,2,2,4.5,1,1,2,5,1.5,Scott,
Karina's Taco Shop ,California ,California Burrito,California,Burrito,42505,Encinitas ,916 N Coast Hwy 101,"916 N Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/karinas-taco-shop-encinitas,4,4.2,5.4,3,2,3.5,4,2.5,3.5,1.5,1.5,3,5,2.7,Emily,
King Burrito,Adobada,Adobada Burrito,Carnitas / Pork,Burrito,42598,Oceanside,3490 Marron Rd,"3490 Marron Rd, Oceanside CA",https://www.yelp.com/biz/king-burrito-oceanside-2,4,3.9,5.99,4,4.5,5,3,4,2,2,2,3.75,4,3.2,Scott,not 100% certain about the ingredients (was there guac and pico?)
King Burrito,California,California Burrito,California,Burrito,42598,Oceanside,3490 Marron Rd,"3490 Marron Rd, Oceanside CA",https://www.yelp.com/biz/king-burrito-oceanside-2,4,3.9,5.5,3,3.5,4,3.5,3,3.5,3.5,2.5,3,2.5,3,Emily,"Best free chips, novel burrito"
Kotija Jr,California,California Burrito,California,Burrito,42966,Del Mar,2668 Del Mar Heights Rd,"2668 Del Mar Heights Rd, Del Mar CA",https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,4,4.2,6.25,4,1.5,2.5,3,4.5,4,2,2.75,3.75,3,2.6,Scott,Way too small
Kotija Jr,Steak fajitas,Steak fajitas Burrito,Carne Asada / Beef,Burrito,42966,Del Mar,2668 Del Mar Heights Rd,"2668 Del Mar Heights Rd, Del Mar CA",https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,4,4.2,8.95,3.5,3,3,4,4,3.5,3.5,2.5,4,0.5,3,Emily,
Kotija Jr.,Fish,Fish Burrito,Seafood,Burrito,42510,Del Mar,2668 Del Mar Heights Rd,"2668 Del Mar Heights Rd, Del Mar CA",https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,4,4.2,3.5,1,3.5,4.5,,3,,4,3,2.5,4,2.7,Scott,
La Morena Taco Shop and Seafood,California,California Burrito,California,Burrito,42635,Webster,5059 Federal Blvd,"5059 Federal Blvd, Webster CA",https://www.yelp.com/biz/la-morena-taco-shop-san-diego,4.5,4.7,11.95,4,3.5,4,4,4.5,2.5,2.5,3,4,2,4.2,Scott,Lotus chips add good crunch
La Perla Cocina,Addiction,Addiction Burrito,Specialty,Burrito,42459,Pacific Beach,745 Emerald St,"745 Emerald St, Pacific Beach CA",https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,11.95,3,3,4,4,4,3,2.5,4.5,4,1.5,4,Emily,
La Perla Cocina,Oaxacalifornia,OaxaCalifornia Burrito,California,Burrito,42459,Pacific Beach,745 Emerald St,"745 Emerald St, Pacific Beach CA",https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,7.5,4,3,5,3.5,3.5,4,4,2.5,3,5,3.5,Sage,
La Perla Cocina,California,California Burrito,California,Burrito,42506,Pacific Beach,745 Emerald St,"745 Emerald St, Pacific Beach CA",https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,4.87,2,3,4,1.5,2,3,5,3,2.5,5,2.6,Scott,"It's pretty good for what it is, but just not the best ingredients for a burrito. also Few white people"
Lola's 7 Up Market & Deli,Shredded beef,Shredded beef Burrito,Carne Asada / Beef,Burrito,42429,Carlsbad,3292 Roosevelt St,"3292 Roosevelt St, Carlsbad CA",https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,4.5,4.9,4.87,2.5,3.5,3,2.5,2.4,3.5,4.5,3,3,1.5,2.6,Emily,
Lola's 7 Up Market & Deli,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42429,Carlsbad,3292 Roosevelt St,"3292 Roosevelt St, Carlsbad CA",https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,4.5,4.9,6.25,4.5,3.5,3,2,2,2.5,3,2,1.5,1,2,Kevin,"Sucks, but it is okay."
Lolita's taco shop,Bean and Cheese,Bean and Cheese Burrito,Vegetarian,Burrito,42509,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,5.25,4,4,5,,5,4,4,5,5,5,4.8,Brian,"Great rice and beans burrito, doesn't come with cheese or sour cream. "
Lolita's taco shop,2 in 1,2 in 1 Burrito,Specialty,Burrito,42424,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,8.25,4,5,5,5,5,5,5,,5,4.5,4.9,Brian,
Lolita's taco shop,Adobado,Adobado Burrito,Carnitas / Pork,Burrito,42424,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,4.59,4,4,4,5,5,5,5,5,5,4,4.8,Chuck K,
Lolita's taco shop,California,California Burrito,California,Burrito,42502,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,2.99,3,4.5,3.5,,4.5,,3.5,3,4,4,4.5,Sarah,Got green and hot salsa put inside the burrito-drive thru
Lolita's taco shop,2 in 1,2 in 1 Burrito,Specialty,Burrito,42502,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,7,2.5,5,5,5,5,5,5,5,5,5,5,Damien B,Get the green sauce
Lolita's taco shop,2 in 1,2 in 1 Burrito,Specialty,Burrito,42502,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,,4.3,3.8,4,,4.7,,5,,4.7,5,4.8,,
Lolita's Taco shop,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42517,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,6,5,4,5,5,5,5,4,5,5,5,5,Logan,
Lolita's Taco shop,Shrimp,Shrimp Burrito,Seafood,Burrito,42517,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,9.43,,4,5,5,5,5,5,5,5,5,5,Chris H,
Lolita's Taco shop,Bean and Cheese,Bean and Cheese Burrito,Vegetarian,Burrito,42517,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,9.25,3.5,2,1,3,3,1,,3,2,4,2.3,Scott,
Lolita's Taco Shop,California,California Burrito,California,Burrito,42544,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,7,3,4.5,4,3.5,4,1,1,2,2,4,2.5,Ricardo,
Lolita's Taco Shop,California,California Burrito,California,Burrito,42544,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,6.25,2.5,3,4,3,2,1.5,1,3,1.5,3,2,Erin,
Lolita's Taco Shop,California,California Burrito,California,Burrito,42544,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,6,4,3,3,1,4,2,2,3,2,1,2,Elynn,
Lolita's Taco Shop,Mixed,Mixed Burrito,Specialty,Burrito,42544,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,6,3,4,3.5,4,4,2,4,4,4,3,3.8,Rob,
Los Cabos,California,California Burrito,California,Burrito,42609,San Marcos,165 S Rancho Santa Fe Rd,"165 S Rancho Santa Fe Rd, San Marcos CA",https://www.yelp.com/biz/los-cabos-san-marcos,4,4.1,6.35,4.5,4,4,2.5,2,3,2,2,2,3,2,Matteo,
Los Cabos,Al pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42609,San Marcos,165 S Rancho Santa Fe Rd,"165 S Rancho Santa Fe Rd, San Marcos CA",https://www.yelp.com/biz/los-cabos-san-marcos,4,4.1,7.9,3.5,3.5,4.5,4.5,4,1.5,1.5,3,4,5,3.5,Scott,
Los palmitos,California,California Burrito,California,Burrito,42848,Clairemont,5145 Clairemont Mesa Blvd,"5145 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego,4,4.1,8.5,3.5,4,4,4,3.5,4,4,4,4.5,4.5,4.2,Emily,
Los palmitos,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42848,Clairemont,5145 Clairemont Mesa Blvd,"5145 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego,4,4.1,6.99,3.5,4,3.5,4,3.5,4,5,2.5,4,4.5,3.9,Scott,
Los Panchos Taco Shop,California,California Burrito,California,Burrito,42697,Hillcrest,409 Washington St,"409 Washington St, Hillcrest CA",https://www.yelp.com/biz/los-panchos-san-diego-2,3,3.4,6.99,5,4,4,4,4,2,3,3,4,3,3.5,Brad P,
Los Panchos Taco Shop,Bitchin California,Bitchin California Burrito,California,Burrito,42697,Hillcrest,409 Washington St,"409 Washington St, Hillcrest CA",https://www.yelp.com/biz/los-panchos-san-diego-2,3,3.4,5.7,3.5,3.5,3,3,4,1.5,4,4,4,4,3.7,Scott,
Los Panchos Taco Shop,Tijuana,Tijuana Burrito,Specialty,Burrito,42697,Hillcrest,409 Washington St,"409 Washington St, Hillcrest CA",https://www.yelp.com/biz/los-panchos-san-diego-2,3,3.4,5.25,4,3.5,3,2.8,3.5,4,4,4,3.5,5,3.2,Emily,
Los Primos Mexican Food,Monster California,Monster California Burrito,California,Burrito,42401,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,9.19,2.8,3.5,4.5,4,3.5,5,4.5,3,3.5,5,4,Scott,shrimp is really good. too much chipotle sauce
Los Primos Mexican Food,619 Burrito Original,619 Burrito Original Burrito,Specialty,Burrito,42506,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,7.85,3,3,4.5,4.5,3.5,3.5,3.5,1,4,1,3.5,Scott,
Los Primos Mexican Food,California,California Burrito,California,Burrito,42519,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,6.85,4,3,5,4,3,5,4,3,4,3,4,Christian,
Los Primos Mexican Food,Monster California,Monster California Burrito,California,Burrito,42524,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,6.85,4,4,5,3.5,3,4,4,3,3,3,3.5,Sam H,
Los Primos Mexican Food,California,California Burrito,California,Burrito,42524,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,6.94,4,4,4,4,4.5,3.2,3,4.5,4.5,2,4.5,Scott,Salsa verde has an interesting hint of garlic
Los Primos Mexican Food,California breakfast,California breakfast Burrito,California,Burrito,42524,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,6.94,3.75,3.5,3.5,3.5,3.5,4,4,4.5,3.5,4.5,3.8,Emily,
Los Primos Mexican Food,Baja monster,Baja monster Burrito,Specialty,Burrito,42524,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,7,2.2,2.8,3,3,2,2,4.5,2,1.5,4.5,2.3,Scott,
Los Primos Mexican Food,Baja monster,Baja monster Burrito,Specialty,Burrito,42524,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,7,3.5,4,4,4,3,4,5,4,4,5,4,Cris,
Los Primos Mexican Food,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42524,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,7,3,3.5,2,3,4,2,4,3,3,4,3,Matt,
Los Primos Mexican Food,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42588,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,8.25,4,4,3,4,4,4,5,3,4,5,3.5,Marc,
Los Primos Mexican Food,Adobada,Adobada Burrito,Carnitas / Pork,Burrito,42588,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,6.25,3,3.8,1.3,3.5,3.5,4.5,4.5,3.5,4,5,3.9,Scott,Temperature brought it down
Los Primos Mexican Food,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42588,UTC,7770 Regents Rd,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,3,3.7,6.25,4.5,4,4,4.5,4,4,3.5,4,4,4.5,4.25,Ricardo,
Los Tacos,California ,California Burrito,California,Burrito,42631,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,4,3,2.5,4,4,4,2,2,3,4,4,Elynn,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42631,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,3,5,4,4,4.5,4,4.5,,4,4,4.5,Erin,
Los Tacos,Fusion,Fusion Burrito,Specialty,Burrito,42742,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,4,4,3.5,4.5,4,4.5,4,4.5,4.5,5,4.5,Luis,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42742,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,5.5,4.5,5,4,5,4,4.5,4,4,4.5,4,4.5,Matteo,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42750,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,3,4,3,4,3,4,3,3,4,4,4,Brent,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42750,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,4.5,4,5,4.5,4,4.5,4,3,4,5,4.5,Daniel,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42791,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,5,4,3,5,4,4,4,5,5,3,4.2,Alejandro,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42791,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,4,4,4,3.5,4,3,4,4,3.5,4.5,3.75,Ricardo,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42791,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,4,3,2,4,5,4,4,3,4,3,4,Elynn,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42791,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,4,4,3.5,3.5,4,3.5,4,3.5,4,4.5,4,Matteo,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42982,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,3.5,3.5,2,3,3.5,3.5,2.5,2.5,3.5,4.5,3.4,Scott,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42982,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,3,4,4,4.5,5,4.75,5,4,4.5,4.5,,Aga,
Los Tacos,Local,Local Burrito,Specialty,Burrito,42526,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,7,4.31,3,2.5,3.5,3,3.5,4,3,3,4,,Hannah,
Los Tacos,Fusion,Fusion Burrito,Specialty,Burrito,42526,Oceanside,2183 Vista Way,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,6.25,4.5,4.5,4,4,4.5,4,4,4.5,4.5,4,4,Brent,
Los Tacos 2,Al pastor tradicional ,Al pastor tradicional  Burrito,Carnitas / Pork,Burrito,42868,Oceanside,3480 Marron Rd,"3480 Marron Rd, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside-2,4.5,5,7,2.5,4,4,2,3,2,3.5,3,3,4.5,2.5,Emily,
Los Tacos 2,Cheese steak,Cheese steak Burrito,Carne Asada / Beef,Burrito,42884,Oceanside,3480 Marron Rd,"3480 Marron Rd, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside-2,4.5,5,6.25,2,4,2.5,2.5,3,2,4,3.5,3,4.5,2.6,Scott,
Los Tacos 2,Local,Local Burrito,Specialty,Burrito,42938,Oceanside,3480 Marron Rd,"3480 Marron Rd, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside-2,4.5,5,7,4,3.5,3,2,2,1,3,3.5,1.5,4,2,Ricardo,
