Restaurant,Burrito Name,Type,Zip Code,Neighborhood,Address,Full Address,URL,Yelp,Google,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,lat,lng
California Burritos,Chile relleno and carnitas,Carnitas / Pork,42475,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,8.75,3.5,1.5,2,3,3.5,4,1,3.5,4.5,4,4,Scott,Rolled tacos need more meat,32.793464,-117.1560493
California Burritos,California (only cheese),California,42475,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,5.5,2.5,1.5,2.5,3.5,3,4,1.5,2.5,3.5,4.5,3.5,Emily,Adobado reminds me of Indian food because of some mystery spice,32.793464,-117.1560493
California Burritos,California Everything,California,42545,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,7.49,2.5,4,3,4,4,4,4,4,4,3,4.6,Scott,,32.793464,-117.1560493
California Burritos,California Everything,California,42545,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,7.49,2.5,3,2,4.5,4,4,3.5,3,4.5,4.5,4.5,Emily,,32.793464,-117.1560493
California Burritos,California Everything,California,42545,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6,3.5,2.5,2.5,3,4,4,4,3,3.5,1.5,3.8,Emily,Food cooks fast but checking out is painfully slow,32.793464,-117.1560493
California Burritos,California Everything,California,42545,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,7,3.5,2.5,3,3,4,2,2,3,3.5,3.5,3,Scott,Beans are surprisingly good,32.793464,-117.1560493
California Burritos,California Everything,California,42545,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.29,3.5,3.5,5,4,4,3.5,4.5,3.5,3.5,4,4,Scott,,32.793464,-117.1560493
California Burritos,Carnitas,Carnitas / Pork,42545,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.49,4.5,3,5,4,4,5,4,2.5,4.5,4,4,Sage,,32.793464,-117.1560493
California Burritos,Carne asada everything,Carne Asada / Beef,42545,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.49,4.5,3,4.5,3.5,3.5,3.5,3,3,3,4,3,Eli,Promising start but finished poorly,32.793464,-117.1560493
California Burritos,Carne asada everything,Carne Asada / Beef,42545,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.6,3.5,4,2,4,3.5,4.5,4,3.5,4,1,4.25,Ricardo,,32.793464,-117.1560493
